dateAndTime,Trajectory,Waypoint,x_end_avg,y_end_avg,z_end_avg,qx_end_avg,qy_end_avg,qz_end_avg,qw_end_avg,l0,l1,l2,l3,l4,l5,l6,l7,l8
19-Feb-2024 21:10:30,124,1,-0.023633398860693,0.00428209404150645,0.253502959012985,0,0,0,1,-4.42500000000001,-6.30000000000001,-4.35,-4.2,-5.10000000000001,-6.07500000000001,-4.57500000000001,-4.80000000000001,-7.35000000000001
19-Feb-2024 21:10:38,124,2,-0.0188795119524002,-0.00943871593723694,0.257895624637604,-0.0339670766787987,-0.0112265533802569,-0.00185009692614028,0.999358183707153,-12.3532736119845,-3.94662954314326,-2.93797772588596,-2.17704007715857,-4.44228588469061,-5.51080842905925,-10.3209835025539,-6.71587589740265,-8.07259878036653
19-Feb-2024 21:11:11,124,3,-0.0141976260890563,-0.0272514785329501,0.262708646059036,-0.0793342501714174,-0.0273316179924261,-0.00423259859917363,0.996464321748026,-20.0940472239691,-15.4682590862864,-7.0009554517719,-2.32908015431715,-7.15957176938121,-9.55911685811848,-16.1794670051078,-10.4317517948053,-11.495197560733
19-Feb-2024 21:11:18,124,4,-0.0115320323035121,-0.0400413321952025,0.26885235508283,-0.116188517868928,-0.0311440497471555,-0.00437886428214937,0.992729118152765,-28.0223208359536,-13.1148886294297,-5.58893317765785,-0.30612023147572,-6.50185765407181,-8.99492528717772,-21.9254505076617,-12.3476276922079,-12.2177963410995
19-Feb-2024 21:11:55,124,5,-0.00566547503694892,-0.0580304394165675,0.276032334566116,-0.159375788661603,-0.0469780837603343,-0.00439620994817969,0.986089798635393,-36.0818444479382,-22.1240181725728,-11.4144109035437,0.929339691365707,-10.3816435387624,-12.9119837162369,-27.3526840102156,-15.9885035896106,-14.440395121466
19-Feb-2024 21:12:02,124,6,-0.00509391992042462,-0.0705413818359375,0.283639613787333,-0.191557224090776,-0.0542584940271305,-0.00472173682048224,0.979969158150369,-44.0101180599227,-19.770647715716,-10.0023886294297,2.95229961420714,-9.72392942345297,-12.3477921452961,-33.0986675127695,-17.9043794870132,-15.1629939018326
19-Feb-2024 21:12:45,124,7,7.51230418093958e-05,-0.0878547410170237,0.29224605957667,-0.235985460285273,-0.0699417028373982,-0.00418731096371093,0.969227262908471,-51.4040166719073,-30.4485272588597,-16.1841163553155,4.28150953704857,-10.8099653081435,-16.1992255743553,-38.7602760153234,-21.3577553844159,-16.6355926821991
19-Feb-2024 21:12:52,124,8,0.00239383849936227,-0.0984174862504005,0.301152720053991,-0.268721725047479,-0.0794621866509112,-0.00553201658872719,0.959918638308802,-59.3322902838918,-28.095156802003,-14.7720940812015,6.30446945989,-10.1522511928341,-15.6350340034146,-44.5062595178773,-23.2736312818185,-17.3581914625656
19-Feb-2024 21:13:32,124,9,0.0210260500510534,-0.0909432614843051,0.299209632476171,-0.25246677859486,-0.102372494662063,-0.0116531976539945,0.962104256838643,-54.3570128123632,-30.2400404849448,-16.6584013965711,4.80707608847004,-13.426524914271,-16.9188488380318,-46.7193623114987,-28.1605943169849,-21.7171009540476
19-Feb-2024 21:13:39,124,10,0.0356901740034421,-0.0861500486731529,0.297938227653503,-0.222492896576185,-0.121373134698726,-0.0129496487188048,0.967263035448271,-48.1489228408346,-33.1442991678864,-18.2728337119407,3.80655771705007,-13.3539236357079,-17.0448511726491,-49.2746526051201,-34.1538073521513,-24.8760104455296
